floor,date,hour,avg_num
T1 단기주차장지상층,2022-01-10,15,162
T1 장기 P3 주차장,2022-01-10,15,1
T1 장기 P1 주차장,2022-01-10,15,419
T2 단기주차장지상1층,2022-01-10,15,441
T2 장기 주차장,2022-01-10,15,470
T2 예약 주차장,2022-01-10,15,12
T1 장기 P1 주차타워,2022-01-10,15,805
T1 장기 P2 주차장,2022-01-10,15,229
T1 장기 P2 주차타워,2022-01-10,15,257
T1 예약주차장,2022-01-10,15,6
T1 단기주차장지하2층,2022-01-10,15,75
T2 단기주차장지상2층,2022-01-10,15,42
T2 단기주차장지상3층,2022-01-10,15,18
T2 단기주차장지상4층,2022-01-10,15,0
T1 단기주차장지하1층,2022-01-10,15,125
T2 단기주차장지하M층,2022-01-10,15,73
